Subject;RT;Trial;Sex;NativeLanguage;Correct;Word;Frequency;Length;Class
A1;5,97381;179;F;English;correct;olive;5,587249;5;plant
A1;6,037871;180;F;English;correct;swan;4,962845;4;animal
A1;5,97381;182;F;English;correct;walnut;4,49981;6;plant
A1;6,282267;184;F;English;correct;melon;4,127134;5;plant
A1;6,040255;185;F;English;correct;monkey;5,783825;6;animal
A2;6,329721;23;M;English;correct;dog;7,667626;3;animal
A2;6,20859;25;M;English;correct;apricot;3,828641;7;plant
A2;6,270988;31;M;English;correct;beaver;3,951244;6;animal
A2;6,45047;32;M;English;correct;dolphin;4,007333;7;animal
A2;6,36647;33;M;English;correct;walnut;4,49981;6;plant
A2;6,293419;36;M;English;correct;camel;6,109248;5;animal
A2;6,198479;39;M;English;correct;olive;5,587249;5;plant
A2;6,154858;42;M;English;correct;whale;5,298317;5;animal
A2;6,20859;44;M;English;correct;donkey;5,541264;6;animal
A2;6,156979;45;M;English;correct;lettuce;4,812184;7;plant
A2;6,146329;46;M;English;correct;gull;4,418841;4;animal
A2;5,942799;50;M;English;correct;goat;6,228511;4;animal
A2;5,993961;53;M;English;incorrect;hedgehog;3,637586;8;animal
A2;6,167516;54;M;English;correct;spider;4,844187;6;animal
A2;6,013715;55;M;English;correct;squid;3,970292;5;animal
A2;6,161207;57;M;English;correct;mustard;4,442651;7;plant
A2;6,146329;59;M;English;correct;radish;3,044522;6;plant
A2;6,2106;63;M;English;correct;lemon;5,631212;5;plant
A2;6,163315;65;M;English;correct;chicken;6,59987;7;animal
A2;6,831954;66;M;English;correct;lion;6,098074;4;animal
A2;6,154858;67;M;English;incorrect;paprika;2,484907;7;plant
A2;6,2106;68;M;English;correct;moose;2,70805;5;animal
A2;6,22059;71;M;English;correct;cherry;4,997212;6;plant
A2;6,253829;72;M;English;correct;reindeer;4,043051;8;animal
A2;6,082219;73;M;English;correct;owl;4,859812;3;animal
A2;6,289716;74;M;English;correct;asparagus;3,663562;9;plant
A2;6,068426;79;M;English;correct;mouse;5,805135;5;animal
A2;6,152733;83;M;English;correct;kiwi;3,044522;4;plant
A2;6,192362;84;M;English;correct;bee;5,700444;3;animal
A2;6,721426;85;M;English;correct;leek;3,332205;4;plant
A2;6,222576;87;M;English;correct;woodpecker;2,890372;10;animal
A2;6,154858;90;M;English;correct;shark;5,880533;5;animal
A2;6,53814;91;M;English;correct;vulture;4,248495;7;animal
A2;6,025866;92;M;English;correct;avocado;3,433987;7;plant
A2;5,942799;93;M;English;correct;crocodile;4,615121;9;animal
A2;6,086775;94;M;English;correct;frog;5,129899;4;animal
A2;6,20859;95;M;English;correct;cucumber;4,454347;8;plant
A2;6,152733;99;M;English;correct;eagle;5,117994;5;animal
A2;6,22059;100;M;English;correct;tomato;5,545177;6;plant
A2;6,280396;101;M;English;correct;broccoli;2,833213;8;plant
A2;6,159095;103;M;English;correct;eggplant;1,791759;8;plant
A2;5,993961;105;M;English;correct;strawberry;4,75359;10;plant
A2;6,641182;107;M;English;correct;stork;3,044522;5;animal
A2;6,248043;108;M;English;correct;blackberry;4,060443;10;plant
A2;6,230481;110;M;English;correct;clove;3,663562;5;plant
A2;6,163315;111;M;English;correct;bunny;3,332205;5;animal
A2;5,966147;112;M;English;correct;horse;7,77191;5;animal
A2;6,434547;115;M;English;correct;mole;4,60517;4;animal
A2;6,077642;116;M;English;correct;ant;5,347108;3;animal
A2;5,902633;117;M;English;correct;goose;5,267858;5;animal
A2;6,249975;122;M;English;correct;pear;4,727388;4;plant
A2;6,095825;123;M;English;correct;snake;6,120297;5;animal
A2;6,169611;125;M;English;correct;bat;5,918894;3;animal
A2;6,214608;126;M;English;correct;wasp;4,682131;4;animal
A2;6,345636;134;M;English;correct;monkey;5,783825;6;animal
A2;6,363028;135;M;English;correct;banana;5,023881;6;plant
A2;6,169611;141;M;English;correct;potato;6,461468;6;plant
A2;6,278521;142;M;English;correct;carrot;4,976734;6;plant
A2;6,115892;143;M;English;correct;orange;6,378426;6;plant
A2;6,285998;146;M;English;correct;pineapple;3,988984;9;plant
A2;6,251904;148;M;English;correct;sheep;6,577861;5;animal
A2;6,175867;149;M;English;correct;melon;4,127134;5;plant
A2;6,113682;150;M;English;correct;butterfly;5,214936;9;animal
A2;6,284134;152;M;English;correct;magpie;2,995732;6;animal
A2;6,013715;153;M;English;correct;blueberry;2,484907;9;plant
A2;6,075346;154;M;English;correct;peanut;4,59512;6;plant
A2;6,104793;156;M;English;correct;mushroom;5,537334;8;plant
A2;5,828946;159;M;English;incorrect;pig;6,660575;3;animal
A2;6,522093;160;M;English;correct;squirrel;4,70953;8;animal
A2;6,23637;163;M;English;correct;elephant;6,063785;8;animal
A2;6,489205;165;M;English;correct;swan;4,962845;4;animal
A2;6,700731;166;M;English;correct;gherkin;2,079442;7;plant
A2;6,466145;169;M;English;correct;tortoise;4,624973;8;animal
A2;6,257668;171;M;English;correct;beetroot;3,555348;8;plant
A2;6,315358;173;M;English;correct;almond;4,204693;6;plant
A2;6,308098;174;M;English;correct;fox;5,652489;3;animal
A2;6,23637;176;M;English;correct;grape;5,192957;5;plant
A2;6,198479;180;M;English;correct;cat;7,086738;3;animal
A2;6,12905;184;M;English;correct;apple;6,304449;5;plant
A3;6,410175;28;F;Other;correct;strawberry;4,75359;10;plant
A3;6,315358;29;F;Other;correct;crocodile;4,615121;9;animal
A3;6,385194;32;F;Other;correct;cherry;4,997212;6;plant
A3;6,35437;34;F;Other;correct;bunny;3,332205;5;animal
A3;6,716595;35;F;Other;correct;paprika;2,484907;7;plant
A3;6,261492;36;F;Other;correct;lemon;5,631212;5;plant
A3;6,304449;40;F;Other;correct;clove;3,663562;5;plant
A3;6,408529;41;F;Other;correct;ant;5,347108;3;animal
A3;6,331502;44;F;Other;correct;pig;6,660575;3;animal
A3;6,401917;46;F;Other;correct;shark;5,880533;5;animal
A3;6,313548;48;F;Other;correct;kiwi;3,044522;4;plant
A3;6,483107;50;F;Other;correct;owl;4,859812;3;animal
A3;6,327937;51;F;Other;correct;avocado;3,433987;7;plant
A3;6,234411;52;F;Other;correct;fox;5,652489;3;animal
A3;6,36647;55;F;Other;correct;goat;6,228511;4;animal
A3;6,327937;56;F;Other;correct;walnut;4,49981;6;plant
A3;6,472346;57;F;Other;correct;tortoise;4,624973;8;animal
A3;6,376727;58;F;Other;correct;goose;5,267858;5;animal
A3;6,383507;61;F;Other;correct;eggplant;1,791759;8;plant
A3;6,36647;64;F;Other;correct;moose;2,70805;5;animal
A3;6,510258;65;F;Other;correct;gull;4,418841;4;animal
A3;6,253829;67;F;Other;correct;eagle;5,117994;5;animal
A3;6,263398;69;F;Other;correct;stork;3,044522;5;animal
A3;6,401917;70;F;Other;correct;blueberry;2,484907;9;plant
A3;6,280396;71;F;Other;correct;squid;3,970292;5;animal
A3;6,44572;72;F;Other;correct;asparagus;3,663562;9;plant
A3;6,317165;73;F;Other;correct;carrot;4,976734;6;plant
A3;6,356108;74;F;Other;correct;lettuce;4,812184;7;plant
A3;6,238325;75;F;Other;correct;snake;6,120297;5;animal
A3;6,804615;79;F;Other;correct;hedgehog;3,637586;8;animal
A3;6,376727;80;F;Other;correct;butterfly;5,214936;9;animal
A3;6,240276;82;F;Other;correct;beaver;3,951244;6;animal
A3;6,194405;83;F;Other;correct;banana;5,023881;6;plant
A3;6,447306;85;F;Other;correct;cat;7,086738;3;animal
A3;6,359574;89;F;Other;correct;elephant;6,063785;8;animal
A3;6,437752;90;F;Other;correct;peanut;4,59512;6;plant
A3;6,302619;93;F;Other;correct;cucumber;4,454347;8;plant
A3;6,263398;96;F;Other;correct;chicken;6,59987;7;animal
A3;6,251904;98;F;Other;correct;mustard;4,442651;7;plant
A3;6,33328;100;F;Other;correct;apple;6,304449;5;plant
A3;6,171701;105;F;Other;correct;monkey;5,783825;6;animal
A3;6,289716;106;F;Other;correct;melon;4,127134;5;plant
A3;6,25575;108;F;Other;correct;leek;3,332205;4;plant
A3;6,253829;109;F;Other;correct;camel;6,109248;5;animal
A3;6,487684;111;F;Other;correct;woodpecker;2,890372;10;animal
A3;6,452049;115;F;Other;correct;reindeer;4,043051;8;animal
A3;6,405228;116;F;Other;correct;donkey;5,541264;6;animal
A3;6,242223;120;F;Other;correct;orange;6,378426;6;plant
A3;6,437752;122;F;Other;correct;dolphin;4,007333;7;animal
A3;6,375025;124;F;Other;correct;blackberry;4,060443;10;plant
A3;6,475433;126;F;Other;correct;mole;4,60517;4;animal
A3;6,452049;132;F;Other;correct;bat;5,918894;3;animal
A3;6,415097;133;F;Other;correct;mouse;5,805135;5;animal
A3;6,378426;134;F;Other;correct;whale;5,298317;5;animal
A3;6,444131;136;F;Other;correct;broccoli;2,833213;8;plant
A3;6,361302;138;F;Other;correct;frog;5,129899;4;animal
A3;6,55108;139;F;Other;correct;tomato;5,545177;6;plant
A3;7,044033;143;F;Other;correct;almond;4,204693;6;plant
A3;6,459904;148;F;Other;correct;vulture;4,248495;7;animal
A3;6,410175;149;F;Other;correct;mushroom;5,537334;8;plant
A3;6,361302;150;F;Other;correct;lion;6,098074;4;animal
A3;6,242223;154;F;Other;correct;dog;7,667626;3;animal
A3;6,458338;156;F;Other;correct;pear;4,727388;4;plant
A3;7,132498;157;F;Other;correct;radish;3,044522;6;plant
A3;6,388561;158;F;Other;correct;olive;5,587249;5;plant
A3;6,419995;160;F;Other;correct;bee;5,700444;3;animal
A3;6,43294;161;F;Other;correct;magpie;2,995732;6;animal
A3;6,2106;162;F;Other;correct;potato;6,461468;6;plant
A3;6,390241;163;F;Other;correct;pineapple;3,988984;9;plant
A3;6,605298;165;F;Other;correct;wasp;4,682131;4;animal
A3;6,459904;168;F;Other;correct;beetroot;3,555348;8;plant
A3;6,416732;169;F;Other;correct;squirrel;4,70953;8;animal
A3;6,495266;171;F;Other;correct;sheep;6,577861;5;animal
A3;6,278521;175;F;Other;correct;apricot;3,828641;7;plant
A3;6,421622;176;F;Other;correct;horse;7,77191;5;animal
A3;6,434547;179;F;Other;correct;spider;4,844187;6;animal
A3;6,466145;180;F;Other;correct;grape;5,192957;5;plant
A3;6,44254;181;F;Other;correct;gherkin;2,079442;7;plant
A3;6,380123;185;F;Other;correct;swan;4,962845;4;animal
C;6,533789;23;F;English;correct;vulture;4,248495;7;animal
C;6,53814;26;F;English;correct;camel;6,109248;5;animal
C;6,246107;27;F;English;correct;kiwi;3,044522;4;plant
C;6,416732;28;F;English;correct;avocado;3,433987;7;plant
C;6,284134;29;F;English;correct;gull;4,418841;4;animal
C;6,473891;31;F;English;correct;banana;5,023881;6;plant
C;6,269096;33;F;English;correct;whale;5,298317;5;animal
C;6,398595;35;F;English;correct;donkey;5,541264;6;animal
C;6,196444;36;F;English;correct;shark;5,880533;5;animal
C;6,33328;38;F;English;correct;chicken;6,59987;7;animal
C;6,173786;39;F;English;correct;monkey;5,783825;6;animal
C;6,173786;41;F;English;correct;wasp;4,682131;4;animal
C;6,180017;46;F;English;correct;cat;7,086738;3;animal
C;6,386879;53;F;English;correct;eggplant;1,791759;8;plant
C;6,499787;54;F;English;correct;gherkin;2,079442;7;plant
C;6,173786;55;F;English;correct;bat;5,918894;3;animal
C;6,070738;56;F;English;correct;bee;5,700444;3;animal
C;6,304449;59;F;English;correct;spider;4,844187;6;animal
C;6,20859;60;F;English;correct;squid;3,970292;5;animal
C;6,395262;62;F;English;correct;pineapple;3,988984;9;plant
C;6,483107;66;F;English;correct;swan;4,962845;4;animal
C;6,293419;67;F;English;correct;strawberry;4,75359;10;plant
C;6,293419;69;F;English;correct;sheep;6,577861;5;animal
C;6,272877;70;F;English;correct;walnut;4,49981;6;plant
C;6,496775;72;F;English;correct;tortoise;4,624973;8;animal
C;6,25575;73;F;English;correct;lion;6,098074;4;animal
C;6,234411;74;F;English;correct;goat;6,228511;4;animal
C;6,380123;76;F;English;correct;asparagus;3,663562;9;plant
C;6,306275;78;F;English;correct;apricot;3,828641;7;plant
C;6,259581;80;F;English;correct;pig;6,660575;3;animal
C;6,249975;81;F;English;correct;apple;6,304449;5;plant
C;6,280396;82;F;English;correct;mustard;4,442651;7;plant
C;6,487684;83;F;English;correct;hedgehog;3,637586;8;animal
C;6,586172;86;F;English;correct;ant;5,347108;3;animal
C;6,411818;88;F;English;correct;fox;5,652489;3;animal
C;6,36647;89;F;English;correct;elephant;6,063785;8;animal
C;6,214608;90;F;English;correct;moose;2,70805;5;animal
C;6,276643;91;F;English;correct;beetroot;3,555348;8;plant
C;6,326149;93;F;English;correct;carrot;4,976734;6;plant
C;6,270988;100;F;English;correct;snake;6,120297;5;animal
C;6,190315;102;F;English;correct;olive;5,587249;5;plant
C;6,115892;109;F;English;correct;pear;4,727388;4;plant
C;6,285998;112;F;English;correct;butterfly;5,214936;9;animal
C;6,295266;113;F;English;correct;blueberry;2,484907;9;plant
C;6,287859;114;F;English;correct;mole;4,60517;4;animal
C;6,284134;115;F;English;correct;cucumber;4,454347;8;plant
C;6,23637;116;F;English;correct;orange;6,378426;6;plant
C;6,186209;122;F;English;correct;lemon;5,631212;5;plant
C;6,43615;124;F;English;correct;horse;7,77191;5;animal
C;6,369901;127;F;English;correct;squirrel;4,70953;8;animal
C;6,152733;130;F;English;correct;goose;5,267858;5;animal
C;6,146329;131;F;English;correct;bunny;3,332205;5;animal
C;6,440947;134;F;English;correct;almond;4,204693;6;plant
C;6,173786;135;F;English;correct;clove;3,663562;5;plant
C;6,331502;137;F;English;correct;peanut;4,59512;6;plant
C;6,486161;140;F;English;correct;beaver;3,951244;6;animal
C;6,171701;141;F;English;correct;mushroom;5,537334;8;plant
C;6,324359;144;F;English;correct;dog;7,667626;3;animal
C;6,679599;145;F;English;correct;frog;5,129899;4;animal
C;6,311735;146;F;English;correct;stork;3,044522;5;animal
C;6,423247;148;F;English;correct;potato;6,461468;6;plant
C;6,591674;150;F;English;correct;radish;3,044522;6;plant
C;6,405228;151;F;English;correct;paprika;2,484907;7;plant
C;6,338594;153;F;English;correct;blackberry;4,060443;10;plant
C;6,418365;159;F;English;correct;lettuce;4,812184;7;plant
C;6,376727;161;F;English;correct;mouse;5,805135;5;animal
C;6,163315;162;F;English;correct;crocodile;4,615121;9;animal
C;6,46925;164;F;English;correct;reindeer;4,043051;8;animal
C;6,265301;165;F;English;incorrect;broccoli;2,833213;8;plant
C;6,385194;168;F;English;correct;tomato;5,545177;6;plant
C;6,493754;172;F;English;correct;leek;3,332205;4;plant
C;6,426488;174;F;English;correct;magpie;2,995732;6;animal
C;6,171701;175;F;English;correct;owl;4,859812;3;animal
C;6,180017;177;F;English;correct;cherry;4,997212;6;plant
C;6,293419;178;F;English;correct;eagle;5,117994;5;animal
C;6,304449;179;F;English;correct;woodpecker;2,890372;10;animal
C;6,364751;181;F;English;correct;dolphin;4,007333;7;animal
C;6,246107;182;F;English;correct;melon;4,127134;5;plant
C;6,234411;184;F;English;correct;grape;5,192957;5;plant
D;6,232448;24;M;Other;correct;peanut;4,59512;6;plant
D;6,349139;28;M;Other;correct;swan;4,962845;4;animal
D;6,375025;29;M;Other;correct;lettuce;4,812184;7;plant
D;6,315358;30;M;Other;correct;walnut;4,49981;6;plant
D;6,440947;32;M;Other;correct;beetroot;3,555348;8;plant
D;6,284134;33;M;Other;correct;broccoli;2,833213;8;plant
D;6,300786;37;M;Other;correct;spider;4,844187;6;animal
D;6,458338;41;M;Other;correct;cucumber;4,454347;8;plant
D;6,350886;44;M;Other;correct;blackberry;4,060443;10;plant
D;6,380123;46;M;Other;correct;snake;6,120297;5;animal
D;6,272877;47;M;Other;correct;cat;7,086738;3;animal
D;6,287859;48;M;Other;correct;fox;5,652489;3;animal
D;6,466145;49;M;Other;correct;gherkin;2,079442;7;plant
D;6,539586;51;M;Other;correct;tomato;5,545177;6;plant
D;6,472346;54;M;Other;correct;squirrel;4,70953;8;animal
D;6,33328;56;M;Other;correct;woodpecker;2,890372;10;animal
D;6,602588;59;M;Other;correct;squid;3,970292;5;animal
D;6,437752;60;M;Other;correct;butterfly;5,214936;9;animal
D;6,122493;61;M;Other;correct;orange;6,378426;6;plant
D;6,34388;62;M;Other;correct;beaver;3,951244;6;animal
D;6,122493;63;M;Other;correct;dog;7,667626;3;animal
D;6,084499;64;M;Other;correct;banana;5,023881;6;plant
D;6,175867;65;M;Other;correct;blueberry;2,484907;9;plant
D;6,226537;66;M;Other;correct;donkey;5,541264;6;animal
D;5,993961;67;M;Other;correct;pig;6,660575;3;animal
D;6,320768;70;M;Other;correct;paprika;2,484907;7;plant
D;6,588926;72;M;Other;correct;carrot;4,976734;6;plant
D;6,214608;74;M;Other;correct;camel;6,109248;5;animal
D;6,434547;76;M;Other;correct;whale;5,298317;5;animal
D;6,313548;77;M;Other;correct;mouse;5,805135;5;animal
D;6,244167;78;M;Other;correct;kiwi;3,044522;4;plant
D;6,448889;80;M;Other;correct;avocado;3,433987;7;plant
D;6,261492;85;M;Other;correct;cherry;4,997212;6;plant
D;6,309918;86;M;Other;correct;owl;4,859812;3;animal
D;6,514713;87;M;Other;correct;reindeer;4,043051;8;animal
D;6,265301;89;M;Other;correct;lion;6,098074;4;animal
D;6,265301;90;M;Other;incorrect;tortoise;4,624973;8;animal
D;6,419995;91;M;Other;correct;olive;5,587249;5;plant
D;6,361302;92;M;Other;correct;mole;4,60517;4;animal
D;6,378426;97;M;Other;correct;apricot;3,828641;7;plant
D;6,49224;99;M;Other;correct;shark;5,880533;5;animal
D;6,295266;100;M;Other;correct;elephant;6,063785;8;animal
D;6,368187;101;M;Other;correct;radish;3,044522;6;plant
D;6,287859;108;M;Other;correct;bat;5,918894;3;animal
D;6,309918;109;M;Other;incorrect;goat;6,228511;4;animal
D;6,395262;110;M;Other;correct;bunny;3,332205;5;animal
D;6,165418;111;M;Other;correct;grape;5,192957;5;plant
D;6,350886;115;M;Other;correct;lemon;5,631212;5;plant
D;6,59987;117;M;Other;correct;hedgehog;3,637586;8;animal
D;6,198479;118;M;Other;correct;apple;6,304449;5;plant
D;6,297109;123;M;Other;correct;horse;7,77191;5;animal
D;6,311735;126;M;Other;correct;strawberry;4,75359;10;plant
D;6,594413;128;M;Other;correct;stork;3,044522;5;animal
D;6,352629;129;M;Other;correct;melon;4,127134;5;plant
D;6,40688;130;M;Other;incorrect;gull;4,418841;4;animal
D;6,467699;132;M;Other;correct;moose;2,70805;5;animal
D;6,33328;133;M;Other;correct;sheep;6,577861;5;animal
D;6,956545;136;M;Other;correct;goose;5,267858;5;animal
D;6,44254;138;M;Other;correct;ant;5,347108;3;animal
D;6,54535;139;M;Other;correct;asparagus;3,663562;9;plant
D;6,244167;140;M;Other;correct;monkey;5,783825;6;animal
D;6,771936;149;M;Other;correct;pineapple;3,988984;9;plant
D;6,395262;150;M;Other;correct;wasp;4,682131;4;animal
D;6,51323;152;M;Other;correct;mushroom;5,537334;8;plant
D;6,552508;155;M;Other;correct;leek;3,332205;4;plant
D;6,444131;157;M;Other;correct;dolphin;4,007333;7;animal
D;6,415097;160;M;Other;correct;almond;4,204693;6;plant
D;6,59987;164;M;Other;correct;clove;3,663562;5;plant
D;6,455199;168;M;Other;correct;mustard;4,442651;7;plant
D;6,276643;169;M;Other;correct;pear;4,727388;4;plant
D;6,98379;172;M;Other;correct;chicken;6,59987;7;animal
D;6,658011;175;M;Other;correct;eagle;5,117994;5;animal
D;6,790097;176;M;Other;correct;vulture;4,248495;7;animal
D;6,741701;177;M;Other;correct;frog;5,129899;4;animal
D;6,572283;180;M;Other;correct;potato;6,461468;6;plant
D;6,352629;181;M;Other;correct;magpie;2,995732;6;animal
D;6,603944;183;M;Other;correct;bee;5,700444;3;animal
D;6,507278;184;M;Other;correct;crocodile;4,615121;9;animal
D;6,719013;185;M;Other;correct;eggplant;1,791759;8;plant
I;6,194405;24;F;Other;correct;dolphin;4,007333;7;animal
I;6,566672;32;F;Other;correct;vulture;4,248495;7;animal
I;6,23637;34;F;Other;correct;pig;6,660575;3;animal
I;6,495266;35;F;Other;correct;cherry;4,997212;6;plant
I;6,09131;36;F;Other;correct;orange;6,378426;6;plant
I;6,09357;40;F;Other;correct;shark;5,880533;5;animal
I;6,295266;41;F;Other;correct;crocodile;4,615121;9;animal
I;6,363028;42;F;Other;correct;reindeer;4,043051;8;animal
I;6,066108;43;F;Other;correct;lion;6,098074;4;animal
I;6,102559;44;F;Other;correct;donkey;5,541264;6;animal
I;6,46925;45;F;Other;correct;gull;4,418841;4;animal
I;6,259581;46;F;Other;correct;blueberry;2,484907;9;plant
I;7,135687;48;F;Other;correct;snake;6,120297;5;animal
I;5,97381;50;F;Other;correct;grape;5,192957;5;plant
I;5,905362;51;F;Other;correct;carrot;4,976734;6;plant
I;6,263398;52;F;Other;correct;butterfly;5,214936;9;animal
I;6,030685;54;F;Other;correct;apple;6,304449;5;plant
I;6,431331;56;F;Other;correct;lettuce;4,812184;7;plant
I;6,483107;57;F;Other;correct;asparagus;3,663562;9;plant
I;6,194405;58;F;Other;correct;goat;6,228511;4;animal
I;6,061457;59;F;Other;correct;clove;3,663562;5;plant
I;6,368187;63;F;Other;correct;bunny;3,332205;5;animal
I;6,282267;67;F;Other;correct;swan;4,962845;4;animal
I;6,320768;69;F;Other;correct;eggplant;1,791759;8;plant
I;6,329721;71;F;Other;correct;strawberry;4,75359;10;plant
I;6,390241;73;F;Other;correct;mustard;4,442651;7;plant
I;6,368187;74;F;Other;correct;magpie;2,995732;6;animal
I;6,383507;76;F;Other;correct;beaver;3,951244;6;animal
I;6,848005;77;F;Other;correct;broccoli;2,833213;8;plant
I;6,146329;78;F;Other;correct;elephant;6,063785;8;animal
I;6,09131;79;F;Other;correct;banana;5,023881;6;plant
I;6,167516;85;F;Other;correct;sheep;6,577861;5;animal
I;6,238325;86;F;Other;correct;melon;4,127134;5;plant
I;6,326149;87;F;Other;correct;almond;4,204693;6;plant
I;5,976351;88;F;Other;correct;potato;6,461468;6;plant
I;6,331502;90;F;Other;correct;hedgehog;3,637586;8;animal
I;6,411818;93;F;Other;correct;leek;3,332205;4;plant
I;6,148468;96;F;Other;correct;whale;5,298317;5;animal
I;6,049733;98;F;Other;correct;tomato;5,545177;6;plant
I;5,961005;102;F;Other;correct;mouse;5,805135;5;animal
I;6,327937;105;F;Other;correct;ant;5,347108;3;animal
I;6,251904;109;F;Other;correct;goose;5,267858;5;animal
I;6,401917;110;F;Other;correct;paprika;2,484907;7;plant
I;6,837333;111;F;Other;correct;woodpecker;2,890372;10;animal
I;6,154858;115;F;Other;correct;pineapple;3,988984;9;plant
I;6,161207;121;F;Other;correct;bat;5,918894;3;animal
I;6,169611;125;F;Other;correct;cat;7,086738;3;animal
I;5,998937;127;F;Other;correct;bee;5,700444;3;animal
I;6,161207;130;F;Other;correct;avocado;3,433987;7;plant
I;6,068426;132;F;Other;correct;eagle;5,117994;5;animal
I;6,011267;133;F;Other;correct;olive;5,587249;5;plant
I;6,212606;134;F;Other;correct;beetroot;3,555348;8;plant
I;6,248043;135;F;Other;correct;frog;5,129899;4;animal
I;6,357842;137;F;Other;correct;mushroom;5,537334;8;plant
I;6,434547;138;F;Other;correct;gherkin;2,079442;7;plant
